GEOID,nodes
13207,767
28031,541
40151,237
01045,3716
17135,215
17173,1739
39033,131
40097,151
55049,4042
19025,367
48477,1872
51770,9070
13199,502
16017,6583
33013,30709
17139,510
40001,36
01061,41
31179,1716
08125,302
20137,41
48439,94567
48209,181809
13175,800
42057,4300
17163,46680
21045,440
26093,25584
21047,4337
31133,64
22061,2473
18025,3585
05119,80603
29225,176
48423,8821
19013,24878
21173,644
31113,0
13063,5396
48021,11334
19109,27
27109,64831
18029,1646
39031,801
46105,0
48059,161
50003,9464
28025,27
20167,313
47051,6373
48135,3773
47111,399
29013,812
48293,365
48319,47
47161,1334
35027,2062
19197,201
18011,11260
17049,1467
48047,0
53069,335
47131,4661
20169,3455
21207,2977
17133,6669
26161,172223
36021,8450
39015,1416
12109,90668
20085,271
12003,420
40081,35
13095,2155
12035,19362
47153,3112
42021,9268
18053,2775
55031,23781
36121,1665
18093,1907
40019,4358
22007,87
47067,531
53063,70178
48445,172
41063,950
49049,321523
26019,6661
17183,11081
20019,5
55027,8205
19121,1438
20089,61
51011,692
39169,3669
31125,0
31097,131
31101,199
30041,285
17095,1352
37145,329
46067,322
54061,4885
40093,171
31135,414
12051,7260
17099,4930
21113,22911
35061,12880
05027,583
40009,443
48237,150
27131,12416
46081,19657
46015,619
51043,2363
48211,105
38007,16261
39157,1516
29089,653
40105,7
41041,6512
29071,10050
40129,169
38003,315
42113,2325
17107,1212
18087,977
28135,2
05097,485
51173,2930
49027,5821
48483,39
28003,153
01031,754
51620,0
23005,29467
17001,4959
18079,5254
27067,2540
17011,1649
29125,0
55065,1380
40041,1342
29209,877
48143,2323
50013,524
55129,1973
39133,28399
19019,279
55099,2710
17059,743
21221,11642
31163,0
47011,4778
17151,3777
19101,1824
19125,521
39151,21167
19047,408
28115,577
39125,239
18075,241
38027,29
05053,241
26057,1372
31109,86466
31039,13
17119,39247
31167,1702
51790,458
40083,5262
46049,0
29153,160
20099,1027
28155,2
08061,99
31121,505
20041,60
48093,2201
38063,444
29186,310
39047,8984
51540,32809
08099,180
42065,8715
20145,335
31041,1185
48363,140
26025,12149
19173,116
30073,4904
54063,1628
33005,12970
21143,3190
29215,337
13259,1069
54097,738
55063,15766
37135,69386
36055,77456
36117,1564
40021,1776
17177,1859
27047,1759
29053,775
16001,332776
17035,36
21009,1384
18139,335
26135,923
18101,488
51700,32082
26121,23770
18035,26755
39069,1891
05129,2974
18171,105
29061,57
35006,3404
48191,0
39161,850
13235,36
41027,9868
18007,52
20101,0
16055,26252
51735,614
17165,3816
48251,9979
13193,72
21037,41827
12091,53247
29067,402
28057,89
31069,46
19171,377
21167,2241
51600,11673
41071,13428
05115,7682
40061,178
13045,6099
48493,1239
35001,78309
32007,4768
40043,246
55033,7961
27085,2159
29139,518
38103,329
29181,27
17149,1103
27133,752
29223,107
56017,711
37105,493
17041,821
05023,632
46029,2567
01059,127
46065,3314
39005,964
27151,190
48077,162
08021,161
51640,631
13023,35
04017,4236
20027,25
18133,4731
46102,290
17005,121
48145,1162
05123,102
17105,2228
39083,3918
28027,352
18111,1420
40153,100
30079,645
20097,78
18135,1943
37045,4146
27039,1269
42001,11179
46025,0
19077,1704
20125,266
37189,19587
28047,7361
17101,2291
50019,2806
47071,577
26059,2141
28077,74
31137,372
37063,154000
20037,1012
19073,744
08009,0
28111,103
38089,1236
13169,1793
31081,399
36037,2371
38057,769
45001,1871
51021,5732
21225,72
20159,157
31105,648
28101,111
48183,5241
46121,111
49045,5217
18099,2327
47101,68
21223,599
01079,605
08011,12
21001,2355
01057,409
17063,3334
29085,0
