course,link,latitude,longitude
Aztec Disc Golf Course,https://www.pdga.com/course-directory/course/aztec-municipal-golf-course,NA,NA
B. B. Owen Park,https://www.pdga.com/course-directory/course/b-b-owen-park,32.8820273,-96.7004874
B. Cordell Disc Golf Course at Arnette Park,https://www.pdga.com/course-directory/course/arnette-park,NA,NA
B. T. Collins Park,https://www.pdga.com/course-directory/course/b-t-collins-park,38.681434,-121.138942
B.I.G. Disc Golf Course,https://www.pdga.com/course-directory/course/big-disc-golf-course,38.5088519,-89.9714184
B1 Disc Golf Course,https://www.pdga.com/course-directory/course/b1-disc-golf-course,33.365223,-84.517822
Back 40 at Fulkerson Winery and Farm,https://www.pdga.com/course-directory/course/back-40-fulkerson-winery-and-farm,42.492267810798,-76.925434470068
Backyard Park,https://www.pdga.com/course-directory/course/backyard-park,29.045377360485,-95.711780190468
Bacon Memorial Park,https://www.pdga.com/course-directory/course/bacon-memorial-park,36.7665409,-90.4089949
Bacon Woods Disc Golf Course,https://www.pdga.com/course-directory/course/bacon-woods-disc-golf-course,41.3817243,-82.3145987
Bacone College Disc Golf Course,https://www.pdga.com/course-directory/course/bacone-college-disc-golf-course,35.7740725,-95.3346656
Bad Rock Creek Disc Golf Course,https://www.pdga.com/course-directory/course/bad-rock-creek-disc-golf-course,39.232933,-94.389524
Badger Park,https://www.pdga.com/course-directory/course/badger-park,45.060021,-87.749967
Badlands,https://www.pdga.com/course-directory/course/camenisch-park-badlands,39.85935,-105.01885
Badu Park,https://www.pdga.com/course-directory/course/badu-park,30.7554899,-98.6794054
Baggenstoss Farms,https://www.pdga.com/course-directory/course/baggenstoss-farms,35.3032801,-85.7708188
Bagley City Park,https://www.pdga.com/course-directory/course/bagley-city-park,47.526833,-95.400548
Bailey Disc Golf Course,https://www.pdga.com/course-directory/course/bailey-disc-golf-course,39.4358193,-105.4385557
Bailey Lake Disc Golf Course,https://www.pdga.com/course-directory/course/bailey-lake-disc-golf-course,32.5272228,-97.3219257
